code,name,lat,lon,population,area,pop_density,type,level
601,Graz,47.07,15.44,240278,127.56,1883.65,Bezirk,5
603,Deutschlandsberg,46.82,15.21,61391,863.49,71.10,Bezirk,5
604,Feldbach,46.96,15.89,67556,727.25,92.89,Bezirk,5
605,Fürstenfeld,47.05,16.08,23037,263.82,87.32,Bezirk,5
606,Graz-Umgebung,47.13,15.4,136234,1100.89,123.75,Bezirk,5
609,Knittelfeld,47.21,14.83,29525,578.09,51.07,Bezirk,5
610,Leibnitz,46.78,15.54,76325,681.52,111.99,Bezirk,5
611,Leoben,47.39,15.09,66176,1099.68,60.18,Bezirk,5
# Missing record,,,,,,,,
# 612,Liezen,47.57,14.24,81663,3270.77,24.97,Bezirk,5
613,Mürzzuschlag,47.61,15.67,41945,848.86,49.41,Bezirk,5
# Invalid value,,,,,,,,
614,Murau,47.11,14.17,A,1384.58,A,Bezirk,5
615,Radkersburg,46.75,15.85,23575,336.96,69.96,Bezirk,5
616,Voitsberg,47.05,15.15,53250,678.6,78.47,Bezirk,5
617,Weiz,47.22,15.62,86755,1070.48,81.04,Bezirk,5
# Invalid value,,,,,,,,
620,Murtal,47.17,14.66,-0,1675.49,0.00,Bezirk,5
621,Bruck-Mürzzuschlag,47.42,15.27,102707,2154.8,47.66,Bezirk,5
622,Hartberg-Fürstenfeld,47.33,15.93,89527,1223.03,73.20,Bezirk,5
623,Südoststeiermark,46.96,15.88,91130,1009,90.32,Bezirk,5
701,Innsbruck-Stadt,47.27,11.4,115498,104.91,1100.92,Bezirk,5
702,Imst,47.08,10.87,54652,1724.82,31.69,Bezirk,5
703,Innsbruck-Land,47.2,11.33,159835,1990.09,80.32,Bezirk,5
704,Kitzbühel,47.43,12.38,60804,1163.28,52.27,Bezirk,5
705,Kufstein,47.5,12.03,97089,969.9,100.10,Bezirk,5
706,Landeck,47.07,10.47,44578,1594.82,27.95,Bezirk,5
707,Lienz,46.9,12.5,50472,2019.87,24.99,Bezirk,5
708,Reutte,47.21,10.76,31942,1236.82,25.83,Bezirk,5
709,Schwaz,47.27,11.77,76913,1843.2,41.73,Bezirk,5
801,Bludenz,47.1,9.87,61959,1287.52,48.12,Bezirk,5
802,Bregenz,47.45,9.92,123902,863.34,143.51,Bezirk,5
803,Dornbirn,47.42,9.73,78499,172.37,455.41,Bezirk,5
804,Feldkirch,47.37,9.67,96467,278.26,346.68,Bezirk,5
900,Wien,48.25,16.42,1714142,414.87,4131.76,Gemeinde,6
